日期,区域,城市,渠道,品类,产品,销售额,成本,订单数,退货率,满意度,营销活动
2026-01-05,华东,上海,线上,办公用品,人体工学椅,18600,11200,12,0.04,4.6,新年促销
2026-01-08,华南,深圳,门店,电子产品,显示器,24300,17800,18,0.06,4.4,新年促销
2026-01-12,华北,北京,企业直销,电子产品,笔记本电脑,58200,44600,9,0.02,4.7,无
2026-01-17,西南,成都,线上,办公用品,升降桌,15200,9300,10,0.08,4.2,内容营销
2026-01-23,华中,武汉,经销商,家居,空气净化器,12800,8800,16,0.11,4.0,渠道返利
2026-01-28,华东,杭州,线上,电子产品,机械键盘,9600,5200,24,0.05,4.5,直播带货
2026-02-03,华南,广州,门店,家居,智能台灯,7300,3900,21,0.04,4.3,春节促销
2026-02-09,华北,天津,线上,办公用品,文件柜,11800,7200,13,0.09,4.1,春节促销
2026-02-14,西南,重庆,企业直销,电子产品,会议平板,44600,33200,4,0.01,4.8,无
2026-02-20,华中,长沙,线上,家居,咖啡机,13700,8400,19,0.13,3.9,达人推荐
2026-02-24,华东,南京,门店,办公用品,人体工学椅,22100,13800,14,0.05,4.5,会员日
2026-02-27,华南,厦门,经销商,电子产品,显示器,19600,14500,15,0.07,4.2,渠道返利
2026-03-04,华北,北京,线上,电子产品,笔记本电脑,68400,51600,11,0.03,4.6,开工季
2026-03-08,西南,成都,门店,家居,空气净化器,14900,10100,17,0.10,4.1,开工季
2026-03-12,华中,武汉,企业直销,办公用品,升降桌,32600,19400,20,0.02,4.7,企业采购
2026-03-16,华东,上海,线上,电子产品,机械键盘,12100,6500,31,0.06,4.4,搜索广告
2026-03-20,华南,深圳,线上,家居,智能台灯,8900,4600,28,0.05,4.3,搜索广告
2026-03-25,华北,天津,经销商,办公用品,文件柜,13600,8500,15,0.12,3.8,渠道返利
2026-04-02,西南,重庆,线上,电子产品,会议平板,39500,30100,3,0.00,4.9,行业展会
2026-04-07,华中,长沙,门店,家居,咖啡机,15900,9700,23,0.14,3.7,清明促销
2026-04-11,华东,杭州,企业直销,办公用品,人体工学椅,41800,25500,26,0.02,4.8,企业采购
2026-04-15,华南,广州,线上,电子产品,显示器,26700,19300,21,0.05,4.5,内容营销
2026-04-21,华北,北京,门店,电子产品,笔记本电脑,53600,41200,8,0.04,4.4,会员日
2026-04-26,西南,成都,经销商,办公用品,升降桌,18400,11600,12,0.09,4.0,渠道返利
2026-05-03,华中,武汉,线上,家居,空气净化器,17200,11300,22,0.12,3.9,五一促销
2026-05-08,华东,南京,门店,电子产品,机械键盘,10400,5700,27,0.04,4.6,五一促销
2026-05-13,华南,厦门,线上,家居,智能台灯,9200,4800,30,0.07,4.2,直播带货
2026-05-18,华北,天津,企业直销,办公用品,文件柜,27900,17100,29,0.03,4.7,企业采购
2026-05-22,西南,重庆,线上,电子产品,会议平板,48700,36600,4,0.02,4.8,行业展会
2026-05-27,华中,长沙,经销商,家居,咖啡机,14600,9100,20,0.16,3.6,渠道返利
2026-06-01,华东,上海,线上,办公用品,人体工学椅,25300,15200,16,0.05,4.5,年中大促
2026-06-05,华南,深圳,门店,电子产品,显示器,31800,22900,25,0.04,4.6,年中大促
2026-06-09,华北,北京,企业直销,电子产品,笔记本电脑,75600,57200,12,0.01,4.9,企业采购
2026-06-13,西南,成都,线上,办公用品,升降桌,22900,13900,15,0.07,4.3,年中大促
2026-06-17,华中,武汉,门店,家居,空气净化器,20100,13200,24,0.10,4.1,年中大促
2026-06-21,华东,杭州,线上,电子产品,机械键盘,14300,7600,36,0.05,4.5,直播带货
2026-07-02,华南,广州,线上,家居,智能台灯,11200,5800,37,0.06,4.3,暑期促销
2026-07-07,华北,天津,经销商,办公用品,文件柜,15700,9600,17,0.11,3.9,渠道返利
2026-07-12,西南,重庆,企业直销,电子产品,会议平板,55200,41800,5,0.01,4.8,企业采购
2026-07-16,华中,长沙,线上,家居,咖啡机,18100,11000,26,0.15,3.7,达人推荐
2026-07-20,华东,南京,门店,办公用品,人体工学椅,28700,17400,18,0.04,4.6,会员日
2026-07-25,华南,厦门,线上,电子产品,显示器,29400,21200,23,0.06,4.4,暑期促销
2026-08-01,华北,北京,线上,电子产品,笔记本电脑,72100,54800,11,0.03,4.7,开学季
2026-08-04,西南,成都,门店,家居,空气净化器,18800,12400,21,0.09,4.2,开学季
2026-08-06,华中,武汉,企业直销,办公用品,升降桌,36400,21800,22,0.02,4.8,企业采购
2026-08-08,华东,上海,线上,电子产品,机械键盘,15800,8400,40,0.05,4.5,直播带货
2026-08-08,华南,深圳,线上,家居,智能台灯,12600,6600,41,0.07,4.2,直播带货
2026-08-08,华北,天津,经销商,办公用品,文件柜,16900,10300,19,0.10,4.0,渠道返利
